Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Specialization,What is your current occupation,Tags,Lead Profile,City,A free copy of Mastering The Interview,Last Notable Activity
Landing Page Submission,Direct Traffic,No,No,0,4.0,301,2.0,Email Opened,Human Resource Management,Not Specified,Not Specified,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,1,1.0,216,1.0,Converted to Lead,E-Commerce,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,Yes,Modified
Landing Page Submission,Google,Yes,No,0,9.5,190,3.67,Page Visited on Website,IT Projects Management,Unemployed,Already a student,Student of SomeSchool,Mumbai,Yes,Modified
API,Google,No,No,0,8.0,33,1.6,Email Opened,Supply Chain Management,Unemployed,Lost to EINS,Potential Lead,Mumbai,Yes,Email Opened
API,Google,No,No,0,7.0,859,1.75,SMS Sent,Not Specified,Unemployed,switched off,Not Specified,Not Specified,No,SMS Sent
API,Google,No,No,0,2.0,23,2.0,Email Opened,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
API,Organic Search,No,No,0,6.0,100,3.0,Email Opened,Not Specified,Unemployed,Busy,Not Specified,Mumbai,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,5.0,38,5.0,Email Opened,Marketing & Advertising,Unemployed,Already a student,Potential Lead,Mumbai,Yes,Modified
Landing Page Submission,Direct Traffic,Yes,No,0,5.0,19,1.25,Other,Other,Unemployed,Graduation in progress,Potential Lead,Thane & Outskirts,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,0,3.0,294,1.5,Email Opened,Marketing & Advertising,Unemployed,Ringing,Potential Lead,Other Cities,No,Email Opened
API,Google,No,No,0,2.0,265,2.0,Email Opened,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,1,3.0,842,1.5,Email Opened,Finance & Banking,Not Specified,Lost to EINS,Not Specified,Other Cities,Yes,Email Opened
Landing Page Submission,Google,No,No,0,3.0,88,3.0,SMS Sent,Marketing & Advertising,Unemployed,Ringing,Potential Lead,Thane & Outskirts,No,SMS Sent
Landing Page Submission,Direct Traffic,Yes,No,0,2.0,25,2.0,Page Visited on Website,Healthcare Management,Not Specified,Not Specified,Not Specified,Mumbai,Yes,Page Visited on Website
API,Google,No,No,0,4.0,106,4.0,SMS Sent,Not Specified,Unemployed,Ringing,Not Specified,Not Specified,No,SMS Sent
API,Organic Search,No,No,1,4.0,1074,2.0,SMS Sent,Not Specified,Unemployed,Will revert after reading the email,Potential Lead,Other Cities,No,SMS Sent
API,Google,Yes,No,0,7.0,219,7.0,Olark Chat Conversation,Not Specified,Unemployed,Already a student,Student of SomeSchool,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,6.0,386,6.0,Email Opened,Supply Chain Management,Unemployed,Ringing,Potential Lead,Mumbai,Yes,Email Opened
Lead Add Form,Referral,No,No,1,0.0,0,0.0,SMS Sent,Not Specified,Unemployed,Will revert after reading the email,Potential Lead,Not Specified,No,Modified
API,Google,No,No,0,7.0,1206,1.75,Olark Chat Conversation,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Olark Chat Conversation
Landing Page Submission,Organic Search,No,No,0,5.0,224,5.0,Email Opened,Other,Not Specified,Not Specified,Not Specified,Other Metro Cities,Yes,Email Opened
API,Google,No,No,1,9.5,1341,2.09,SMS Sent,Not Specified,Not Specified,Lost to EINS,Not Specified,Not Specified,No,Modified
API,Google,No,No,0,2.0,432,1.0,Olark Chat Conversation,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Google,No,No,1,5.0,789,5.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,Not Specified,Not Specified,Mumbai,No,SMS Sent
Landing Page Submission,Organic Search,No,No,1,5.0,1445,5.0,SMS Sent,Finance & Banking,Unemployed,Will revert after reading the email,Potential Lead,Other Cities,No,SMS Sent
Landing Page Submission,Google,No,No,0,5.0,189,2.5,Email Opened,Marketing & Advertising,Not Specified,Not Specified,Not Specified,Mumbai,No,Email Opened
API,Chat,No,No,0,0.0,0,0.0,Email Opened,Marketing & Advertising,Unemployed,Interested in other courses,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,3.0,304,1.5,SMS Sent,Operations Management,Unemployed,Busy,Potential Lead,Mumbai,Yes,SMS Sent
Landing Page Submission,Direct Traffic,No,No,0,2.0,346,2.0,Email Opened,Human Resource Management,Not Specified,Not Specified,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,0,7.0,408,1.75,SMS Sent,Business Administration,Unemployed,Ringing,Potential Lead,Other Cities,Yes,SMS Sent
Landing Page Submission,Google,No,No,0,1.0,456,1.0,Converted to Lead,Marketing & Advertising,Unemployed,Interested  in full time MBA,Potential Lead,Mumbai,No,Modified
Landing Page Submission,Google,No,No,0,4.0,137,2.0,Email Opened,Business Administration,Unemployed,Graduation in progress,Other Leads,Mumbai,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,7.0,162,3.5,SMS Sent,Human Resource Management,Unemployed,Ringing,Potential Lead,Other Metro Cities,Yes,SMS Sent
Landing Page Submission,Direct Traffic,No,No,1,1.0,594,1.0,Converted to Lead,Human Resource Management,Not Specified,Lost to EINS,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Direct Traffic,Yes,No,0,5.0,406,5.0,SMS Sent,Other,Unemployed,Ringing,Potential Lead,Mumbai,Yes,SMS Sent
API,Organic Search,No,No,0,2.0,44,1.0,Olark Chat Conversation,Not Specified,Unemployed,Interested in other courses,Not Specified,Not Specified,No,Modified
Landing Page Submission,Google,No,No,1,2.0,1608,2.0,Email Link Clicked,"Banking, Investment And Insurance",Unemployed,Closed by Horizzon,Potential Lead,Mumbai,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,2.0,404,2.0,Email Opened,Finance & Banking,Unemployed,Already a student,Student of SomeSchool,Mumbai,Yes,Email Opened
API,Chat,Yes,No,0,0.0,0,0.0,Email Bounced,Not Specified,Unemployed,Interested  in full time MBA,Not Specified,Not Specified,No,Modified
Landing Page Submission,Google,No,No,0,7.0,600,2.33,Email Opened,Human Resource Management,Unemployed,Ringing,Potential Lead,Other Cities,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,2.0,327,2.0,Email Opened,Operations Management,Unemployed,Already a student,Potential Lead,Mumbai,Yes,Modified
Landing Page Submission,Organic Search,No,No,0,4.0,5,4.0,SMS Sent,E-Commerce,Unemployed,Not doing further education,Not Specified,Other Cities,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,0,3.0,99,3.0,Page Visited on Website,IT Projects Management,Not Specified,Not Specified,Not Specified,Other Metro Cities,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,1,4.0,1070,4.0,SMS Sent,E-Commerce,Unemployed,Will revert after reading the email,Potential Lead,Other Metro Cities,Yes,SMS Sent
API,Chat,No,No,0,0.0,0,0.0,Email Link Clicked,Marketing & Advertising,Unemployed,Interested in other courses,Not Specified,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,No,No,1,5.0,1578,5.0,Email Opened,Human Resource Management,Unemployed,Lost to EINS,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Organic Search,No,No,0,8.0,193,7.0,SMS Sent,E-Commerce,Unemployed,Ringing,Potential Lead,Other Cities,Yes,SMS Sent
Landing Page Submission,Direct Traffic,No,No,1,3.0,32,3.0,Email Opened,Other,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,0,1.0,446,1.0,Converted to Lead,E-Commerce,Unemployed,Ringing,Potential Lead,Mumbai,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,0,2.0,149,2.0,SMS Sent,International Business,Unemployed,Ringing,Potential Lead,Mumbai,Yes,SMS Sent
Landing Page Submission,Direct Traffic,No,No,1,3.0,1368,1.5,Page Visited on Website,Finance & Banking,Unemployed,Will revert after reading the email,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,0,9.5,207,3.25,Email Link Clicked,Human Resource Management,Unemployed,Interested in other courses,Potential Lead,Mumbai,Yes,Email Link Clicked
Landing Page Submission,Direct Traffic,No,No,0,1.0,336,1.0,Converted to Lead,Healthcare Management,Unemployed,Graduation in progress,Potential Lead,Other Cities,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,1,2.0,823,2.0,Email Opened,Human Resource Management,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,Yes,Email Opened
API,Organic Search,No,No,0,2.0,228,2.0,Email Opened,Not Specified,Unemployed,Ringing,Potential Lead,Not Specified,No,Email Opened
Landing Page Submission,Organic Search,No,No,0,3.0,389,3.0,SMS Sent,Human Resource Management,Unemployed,switched off,Potential Lead,Other Cities,Yes,SMS Sent
API,Google,No,No,0,1.0,1183,1.0,Converted to Lead,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Organic Search,No,No,0,3.0,83,3.0,SMS Sent,Supply Chain Management,Not Specified,Not Specified,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Direct Traffic,Yes,No,0,5.0,131,1.25,Page Visited on Website,Supply Chain Management,Unemployed,Already a student,Potential Lead,Thane & Outskirts,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,1,2.0,1019,2.0,SMS Sent,Human Resource Management,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,Yes,SMS Sent
Landing Page Submission,Direct Traffic,No,No,1,7.0,229,3.5,Converted to Lead,Healthcare Management,Student,Will revert after reading the email,Potential Lead,Other Metro Cities,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,1,7.0,330,7.0,SMS Sent,International Business,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,Yes,SMS Sent
Landing Page Submission,Direct Traffic,No,No,0,3.0,89,3.0,SMS Sent,Supply Chain Management,Not Specified,Not Specified,Not Specified,Thane & Outskirts,Yes,Modified
API,Chat,No,No,1,0.0,0,0.0,Email Opened,Healthcare Management,Other,Will revert after reading the email,Other Leads,Other Cities,No,Email Opened
Landing Page Submission,Direct Traffic,Yes,No,0,1.0,167,1.0,Email Bounced,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Google,No,No,1,2.0,100,2.0,Email Opened,Marketing & Advertising,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,Email Opened
API,Google,No,No,0,1.0,489,1.0,Converted to Lead,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
API,Chat,No,No,0,0.0,0,0.0,Email Opened,Not Specified,Unemployed,Interested in other courses,Potential Lead,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,4.0,304,1.33,Page Visited on Website,Marketing & Advertising,Unemployed,Already a student,Potential Lead,Mumbai,Yes,Page Visited on Website
Landing Page Submission,Organic Search,No,No,0,3.0,828,3.0,Email Opened,Marketing & Advertising,Unemployed,Graduation in progress,Potential Lead,Mumbai,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,0,6.0,324,3.0,Email Opened,Business Administration,Unemployed,Ringing,Potential Lead,Other Cities,Yes,Email Opened
API,Chat,No,No,0,0.0,0,0.0,Email Opened,Not Specified,Unemployed,Graduation in progress,Potential Lead,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,5.0,568,2.5,SMS Sent,"Banking, Investment And Insurance",Unemployed,Ringing,Potential Lead,Mumbai,Yes,SMS Sent
API,Google,No,No,1,2.0,39,2.0,SMS Sent,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
API,Chat,No,No,1,0.0,0,0.0,SMS Sent,Not Specified,Unemployed,Will revert after reading the email,Potential Lead,Not Specified,No,SMS Sent
Landing Page Submission,Google,No,No,0,4.0,30,4.0,Olark Chat Conversation,"Banking, Investment And Insurance",Unemployed,Interested in other courses,Potential Lead,Mumbai,No,Modified
API,Organic Search,No,No,1,3.0,2253,3.0,Email Opened,Marketing & Advertising,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,Email Opened
API,Chat,No,No,1,0.0,0,0.0,Email Opened,Not Specified,Unemployed,Graduation in progress,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Google,No,No,1,2.0,1041,2.0,SMS Sent,Finance & Banking,Unemployed,Not Specified,Potential Lead,Thane & Outskirts,No,SMS Sent
Lead Add Form,Referral,No,No,1,1.0,145,1.0,Email Opened,E-Commerce,Working Professional,Closed by Horizzon,Potential Lead,Mumbai,Yes,Email Opened
Landing Page Submission,Google,No,No,1,3.0,1111,1.5,SMS Sent,Operations Management,Not Specified,Not Specified,Not Specified,Other Cities,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,4.0,74,4.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,Ringing,Potential Lead,Other Cities,Yes,SMS Sent
Landing Page Submission,Google,No,No,0,7.0,397,7.0,Email Link Clicked,Hospitality & Tourism,Unemployed,Already a student,Potential Lead,Mumbai,Yes,Email Link Clicked
API,Google,No,No,0,2.0,250,2.0,Email Opened,Not Specified,Unemployed,Ringing,Potential Lead,Not Specified,No,Modified
API,Chat,Yes,No,1,0.0,0,0.0,SMS Sent,Not Specified,Unemployed,Ringing,Potential Lead,Not Specified,No,SMS Sent
Landing Page Submission,Organic Search,No,No,0,2.0,330,2.0,Converted to Lead,Finance & Banking,Working Professional,Interested in other courses,Potential Lead,Mumbai,Yes,Modified
Landing Page Submission,Google,No,No,0,3.0,200,3.0,Email Opened,Marketing & Advertising,Not Specified,Not Specified,Not Specified,Mumbai,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,1,5.0,439,1.67,Email Opened,Supply Chain Management,Working Professional,Closed by Horizzon,Not Specified,Other Cities,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,2.0,198,2.0,Email Opened,Marketing & Advertising,Unemployed,Interested in other courses,Potential Lead,Other Cities,Yes,Modified
Lead Add Form,Referral,No,No,1,0.0,0,0.0,SMS Sent,Not Specified,Unemployed,Not Specified,Potential Lead,Not Specified,No,SMS Sent
API,Organic Search,Yes,No,0,3.0,718,3.0,Email Bounced,Not Specified,Unemployed,invalid number,Not Specified,Not Specified,No,Modified
Landing Page Submission,Google,Yes,No,1,4.0,321,4.0,SMS Sent,Human Resource Management,Working Professional,Will revert after reading the email,Potential Lead,Mumbai,No,SMS Sent
Landing Page Submission,Other,No,No,1,7.0,931,1.75,Email Opened,Human Resource Management,Not Specified,Not Specified,Not Specified,Mumbai,No,Email Opened
Landing Page Submission,Google,No,No,0,4.0,1029,4.0,SMS Sent,Finance & Banking,Unemployed,Ringing,Potential Lead,Mumbai,No,SMS Sent
API,Google,No,No,0,2.0,462,2.0,Email Opened,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,9.5,594,3.67,Email Opened,Healthcare Management,Unemployed,Ringing,Not Specified,Other Cities,Yes,Email Opened
API,Chat,No,No,0,0.0,0,0.0,SMS Sent,Not Specified,Unemployed,Ringing,Potential Lead,Not Specified,No,SMS Sent
Landing Page Submission,Google,No,No,0,4.0,27,2.0,Email Opened,Business Administration,Unemployed,invalid number,Potential Lead,Thane & Outskirts,No,Email Opened
Landing Page Submission,Direct Traffic,Yes,No,0,2.0,488,2.0,SMS Sent,Business Administration,Unemployed,invalid number,Other Leads,Other Cities,Yes,SMS Sent
API,Google,No,No,0,2.0,126,1.0,Olark Chat Conversation,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,Yes,No,0,1.0,159,1.0,Email Bounced,IT Projects Management,Not Specified,Not Specified,Not Specified,Thane & Outskirts,No,Modified
API,Organic Search,No,No,0,5.0,47,5.0,Email Opened,Not Specified,Unemployed,Graduation in progress,Not Specified,Not Specified,No,Modified
API,Chat,No,No,0,3.0,16,1.0,SMS Sent,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Organic Search,No,No,0,3.0,1168,3.0,Email Opened,Human Resource Management,Unemployed,Ringing,Potential Lead,Mumbai,Yes,Modified
Lead Add Form,Referral,No,No,1,0.0,0,0.0,Email Opened,Not Specified,Unemployed,Closed by Horizzon,Potential Lead,Mumbai,No,Modified
API,Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,Not Specified,Unemployed,Interested  in full time MBA,Potential Lead,Not Specified,No,Modified
API,Chat,No,No,1,0.0,0,0.0,Email Opened,Not Specified,Student,Lost to EINS,Student of SomeSchool,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,2.0,15,2.0,Email Opened,Operations Management,Unemployed,Ringing,Potential Lead,Thane & Outskirts,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,0,2.0,90,2.0,Olark Chat Conversation,International Business,Unemployed,Already a student,Potential Lead,Other Cities,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,2.0,1566,2.0,Email Opened,Operations Management,Unemployed,Ringing,Potential Lead,Other Metro Cities,Yes,Email Opened
API,Direct Traffic,No,No,0,5.0,559,5.0,Olark Chat Conversation,Finance & Banking,Unemployed,Interested in other courses,Not Specified,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,5.0,869,5.0,SMS Sent,Supply Chain Management,Not Specified,Not Specified,Not Specified,Mumbai,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,1,3.0,1325,1.5,Email Opened,Business Administration,Unemployed,Not Specified,Potential Lead,Other Cities,No,Email Opened
Lead Add Form,Other,No,No,1,0.0,0,0.0,Email Link Clicked,Not Specified,Unemployed,Not Specified,Potential Lead,Not Specified,No,Modified
API,Google,No,No,1,2.0,2170,1.0,SMS Sent,Marketing & Advertising,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,SMS Sent
Landing Page Submission,Google,No,No,0,6.0,1377,6.0,SMS Sent,Operations Management,Unemployed,Ringing,Potential Lead,Mumbai,Yes,SMS Sent
Landing Page Submission,Google,No,No,1,4.0,1146,2.0,Email Opened,IT Projects Management,Working Professional,Will revert after reading the email,Potential Lead,Mumbai,Yes,Email Opened
Landing Page Submission,Google,No,No,1,5.0,5,2.5,Email Opened,Business Administration,Unemployed,Will revert after reading the email,Potential Lead,Other Cities,Yes,Email Opened
Landing Page Submission,Google,No,No,0,7.0,130,1.4,Email Opened,Supply Chain Management,Unemployed,Ringing,Potential Lead,Mumbai,Yes,Email Opened
Landing Page Submission,Google,Yes,No,0,2.0,43,2.0,Email Bounced,Other,Not Specified,Not Specified,Not Specified,Other Metro Cities,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,0,2.0,245,2.0,SMS Sent,International Business,Unemployed,Ringing,Potential Lead,Other Cities,Yes,SMS Sent
Landing Page Submission,Organic Search,No,No,0,4.0,271,4.0,Email Opened,Hospitality & Tourism,Unemployed,invalid number,Potential Lead,Other Cities,Yes,Email Opened
Landing Page Submission,Direct Traffic,Yes,No,0,3.0,471,3.0,Email Bounced,IT Projects Management,Unemployed,Already a student,Potential Lead,Thane & Outskirts,No,Modified
Landing Page Submission,Direct Traffic,No,No,1,3.0,230,3.0,Email Opened,Human Resource Management,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,Yes,Modified
Landing Page Submission,Google,No,No,0,4.0,18,4.0,SMS Sent,"Banking, Investment And Insurance",Not Specified,Not Specified,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Google,No,No,0,2.0,63,2.0,Form Submitted on Website,Marketing & Advertising,Unemployed,Graduation in progress,Potential Lead,Other Cities,No,Modified
Landing Page Submission,Organic Search,No,No,1,6.0,1713,6.0,SMS Sent,International Business,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,Yes,SMS Sent
Landing Page Submission,Google,Yes,No,0,4.0,447,4.0,Email Bounced,IT Projects Management,Unemployed,Not doing further education,Potential Lead,Thane & Outskirts,Yes,Modified
Landing Page Submission,Google,No,No,0,8.0,1361,2.67,SMS Sent,Marketing & Advertising,Unemployed,Busy,Not Specified,Mumbai,Yes,SMS Sent
Landing Page Submission,Google,No,No,1,3.0,1516,3.0,Email Opened,International Business,Not Specified,Not Specified,Not Specified,Mumbai,No,Modified
API,Google,No,No,0,2.0,239,1.0,Email Opened,Not Specified,Unemployed,Ringing,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,3.0,325,3.0,Email Opened,Finance & Banking,Unemployed,Interested in other courses,Potential Lead,Mumbai,Yes,Modified
API,Google,No,No,0,3.0,312,1.0,Email Opened,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Google,No,No,0,5.0,1298,5.0,Email Opened,E-Commerce,Unemployed,Interested  in full time MBA,Potential Lead,Mumbai,No,Email Opened
Landing Page Submission,Google,No,No,0,5.0,426,5.0,SMS Sent,Human Resource Management,Not Specified,Not Specified,Not Specified,Mumbai,No,Modified
Landing Page Submission,Google,No,No,0,2.0,1124,2.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,Ringing,Potential Lead,Mumbai,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,1,2.0,69,2.0,SMS Sent,Human Resource Management,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,Yes,SMS Sent
Landing Page Submission,Direct Traffic,Yes,No,0,1.0,1465,1.0,Email Bounced,Hospitality & Tourism,Unemployed,Not doing further education,Potential Lead,Other Cities,Yes,Modified
Landing Page Submission,Google,No,No,0,3.0,663,3.0,Email Opened,Marketing & Advertising,Unemployed,Ringing,Potential Lead,Other Cities,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,1,3.0,1372,3.0,Email Opened,Finance & Banking,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,Modified
Landing Page Submission,Direct Traffic,No,No,1,2.0,206,2.0,SMS Sent,Operations Management,Not Specified,Lost to EINS,Not Specified,Mumbai,Yes,Modified
API,Google,No,No,1,3.0,1320,1.0,Olark Chat Conversation,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Olark Chat Conversation
Landing Page Submission,Google,No,No,1,5.0,1464,5.0,Email Opened,IT Projects Management,Working Professional,Will revert after reading the email,Not Specified,Mumbai,No,Email Opened
Landing Page Submission,Organic Search,Yes,No,0,7.0,176,7.0,SMS Sent,IT Projects Management,Unemployed,Ringing,Potential Lead,Mumbai,Yes,SMS Sent
Landing Page Submission,Google,No,No,0,6.0,168,3.0,Email Opened,Finance & Banking,Unemployed,Interested  in full time MBA,Other Leads,Mumbai,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,1,4.0,1192,4.0,Email Opened,Business Administration,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,2.0,1094,2.0,Email Opened,Human Resource Management,Unemployed,invalid number,Potential Lead,Mumbai,Yes,Email Opened
Landing Page Submission,Organic Search,No,No,0,8.0,39,2.67,Page Visited on Website,E-Commerce,Unemployed,Not doing further education,Potential Lead,Other Cities,Yes,Page Visited on Website
Landing Page Submission,Organic Search,No,No,0,9.5,194,7.0,Email Opened,Finance & Banking,Unemployed,Ringing,Not Specified,Thane & Outskirts,Yes,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,2.0,783,2.0,Email Opened,Business Administration,Unemployed,Interested in other courses,Potential Lead,Thane & Outskirts,Yes,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,1.0,49,1.0,Converted to Lead,Marketing & Advertising,Student,Already a student,Student of SomeSchool,Mumbai,Yes,Modified
Landing Page Submission,Direct Traffic,Yes,No,0,4.0,883,4.0,Email Bounced,IT Projects Management,Not Specified,Not Specified,Not Specified,Other Metro Cities,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,1,2.0,138,2.0,Unreachable,Finance & Banking,Unemployed,Will revert after reading the email,Potential Lead,Other Cities,Yes,Other
Landing Page Submission,Organic Search,No,No,0,8.0,327,2.67,SMS Sent,Hospitality & Tourism,Unemployed,invalid number,Not Specified,Other Metro Cities,Yes,SMS Sent
Landing Page Submission,Google,No,No,0,5.0,46,5.0,Email Opened,Finance & Banking,Unemployed,Interested in other courses,Potential Lead,Thane & Outskirts,No,Modified
API,Organic Search,No,No,0,7.0,1055,7.0,Email Opened,Not Specified,Unemployed,Ringing,Potential Lead,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,3.0,271,3.0,Email Opened,Hospitality & Tourism,Unemployed,Ringing,Potential Lead,Mumbai,Yes,Email Opened
API,Organic Search,No,No,0,4.0,1645,4.0,Email Opened,Supply Chain Management,Unemployed,Interested in other courses,Potential Lead,Other Metro Cities,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,0,2.0,1740,2.0,SMS Sent,Finance & Banking,Unemployed,Ringing,Potential Lead,Thane & Outskirts,Yes,SMS Sent
Landing Page Submission,Direct Traffic,No,No,0,4.0,709,2.0,Form Submitted on Website,Not Specified,Other,Not Specified,Not Specified,Mumbai,No,Modified
API,Google,No,No,1,3.0,432,1.5,SMS Sent,Finance & Banking,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,SMS Sent
API,Organic Search,No,No,1,5.0,726,5.0,Email Opened,Not Specified,Unemployed,Will revert after reading the email,Potential Lead,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,Yes,No,0,1.0,155,1.0,Email Bounced,Hospitality & Tourism,Not Specified,Not Specified,Not Specified,Mumbai,Yes,Modified
API,Organic Search,No,No,0,3.0,1709,3.0,SMS Sent,Human Resource Management,Unemployed,Will Revert,Other Leads,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,Yes,No,1,1.0,869,1.0,Email Bounced,Marketing & Advertising,Unemployed,switched off,Potential Lead,Mumbai,Yes,Modified
Landing Page Submission,Google,No,No,0,2.0,391,2.0,Converted to Lead,Finance & Banking,Unemployed,Graduation in progress,Other Leads,Mumbai,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,2.0,660,2.0,Email Opened,"Banking, Investment And Insurance",Student,Already a student,Student of SomeSchool,Mumbai,Yes,Email Opened
API,Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,Not Specified,Unemployed,Ringing,Potential Lead,Not Specified,No,Modified
API,Organic Search,No,No,0,9.5,496,3.67,Email Opened,Healthcare Management,Unemployed,Ringing,Potential Lead,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,9.0,83,3.0,Email Opened,"Banking, Investment And Insurance",Unemployed,Ringing,Not Specified,Mumbai,Yes,Email Opened
API,Google,No,No,1,5.0,952,5.0,Email Opened,Marketing & Advertising,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,4.0,373,4.0,Other,Human Resource Management,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,Yes,Modified
API,Direct Traffic,No,No,0,7.0,5,7.0,Email Opened,Not Specified,Unemployed,Ringing,Potential Lead,Not Specified,No,Email Opened
Landing Page Submission,Google,No,No,1,5.0,68,2.5,Unreachable,Operations Management,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,Modified
Landing Page Submission,Direct Traffic,No,No,1,1.0,1245,1.0,Converted to Lead,Human Resource Management,Unemployed,Will revert after reading the email,Potential Lead,Other Cities,Yes,Modified
API,Chat,No,No,0,0.0,0,0.0,Email Opened,Not Specified,Unemployed,Already a student,Potential Lead,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,5.0,87,5.0,Email Opened,Hospitality & Tourism,Unemployed,switched off,Potential Lead,Mumbai,Yes,Email Opened
